dep_lat,dep_lon,arr_lat,arr_lon,flight_nb
25.253,55.364,51.148,-0.19,522
51.148,-0.19,25.253,55.364,523
25.253,55.364,53.349,-2.28,524
53.349,-2.28,25.253,55.364,525
25.253,55.364,40.64,-73.779,526
40.64,-73.779,25.253,55.364,527
25.253,55.364,49.013,2.55,528
49.013,2.55,25.253,55.364,529
25.253,55.364,51.148,-0.19,530
51.148,-0.19,25.253,55.364,531
25.253,55.364,32.897,-97.038,532
32.897,-97.038,25.253,55.364,533
25.253,55.364,-20.43,57.684,534
-20.43,57.684,25.253,55.364,535
25.253,55.364,47.458,8.548,536
47.458,8.548,25.253,55.364,537
25.253,55.364,45.631,8.728,538
45.631,8.728,25.253,55.364,539
25.253,55.364,30.122,31.406,540
30.122,31.406,25.253,55.364,541
25.253,55.364,53.349,-2.28,542
53.349,-2.28,25.253,55.364,543
25.253,55.364,40.64,-73.779,544
40.64,-73.779,25.253,55.364,545
25.253,55.364,19.089,72.868,546
19.089,72.868,25.253,55.364,547
25.253,55.364,21.68,39.157,548
21.68,39.157,25.253,55.364,549
25.253,55.364,48.354,11.786,550
48.354,11.786,25.253,55.364,551
25.253,55.364,23.843,90.398,552
23.843,90.398,25.253,55.364,553
25.253,55.364,45.726,5.081,554
45.726,5.081,25.253,55.364,555
25.253,55.364,40.64,-73.779,556
40.64,-73.779,25.253,55.364,557
25.253,55.364,45.631,8.728,558
45.631,8.728,25.253,55.364,559
25.253,55.364,55.409,37.906,560
55.409,37.906,25.253,55.364,561
25.253,55.364,-26.139,28.246,562
-26.139,28.246,25.253,55.364,563
25.253,55.364,25.273,51.608,564
25.273,51.608,25.253,55.364,565
25.253,55.364,1.35,103.994,566
1.35,103.994,25.253,55.364,567
25.253,55.364,21.68,39.157,568
21.68,39.157,25.253,55.364,569
25.253,55.364,31.143,121.805,570
31.143,121.805,25.253,55.364,571
25.253,55.364,29.984,-95.341,572
29.984,-95.341,25.253,55.364,573
25.253,55.364,29.227,47.969,574
29.227,47.969,25.253,55.364,575
25.253,55.364,40.64,-73.779,576
40.64,-73.779,25.253,55.364,577
25.253,55.364,40.08,116.585,578
40.08,116.585,25.253,55.364,579
25.253,55.364,-26.139,28.246,580
-26.139,28.246,25.253,55.364,581
25.253,55.364,50.033,8.571,582
50.033,8.571,25.253,55.364,583
25.253,55.364,33.549,72.826,584
33.549,72.826,25.253,55.364,585
25.253,55.364,31.522,74.404,586
31.522,74.404,25.253,55.364,587
25.253,55.364,25.078,121.233,588
25.078,121.233,25.253,55.364,589
25.253,55.364,51.471,-0.462,590
51.471,-0.462,25.253,55.364,591
25.253,55.364,-20.43,57.684,592
-20.43,57.684,25.253,55.364,593
25.253,55.364,41.297,2.078,594
41.297,2.078,25.253,55.364,595
25.253,55.364,49.013,2.55,596
49.013,2.55,25.253,55.364,597
25.253,55.364,48.354,11.786,598
48.354,11.786,25.253,55.364,599
25.253,55.364,37.619,-122.375,600
37.619,-122.375,25.253,55.364,601
25.253,55.364,45.726,5.081,602
45.726,5.081,25.253,55.364,603
25.253,55.364,9.007,7.263,604
9.007,7.263,25.253,55.364,605
25.253,55.364,7.181,79.884,606
7.181,79.884,1.35,103.994,607
1.35,103.994,7.181,79.884,608
7.181,79.884,25.253,55.364,609
25.253,55.364,13.681,100.747,610
13.681,100.747,25.253,55.364,611
25.253,55.364,40.08,116.585,612
40.08,116.585,25.253,55.364,613
25.253,55.364,9.007,7.263,614
9.007,7.263,25.253,55.364,615
25.253,55.364,33.821,35.488,616
33.821,35.488,25.253,55.364,617
25.253,55.364,6.577,3.321,618
6.577,3.321,25.253,55.364,619
25.253,55.364,51.148,-0.19,620
51.148,-0.19,25.253,55.364,621
25.253,55.364,-34.945,138.531,622
-34.945,138.531,25.253,55.364,623
25.253,55.364,36.851,10.227,624
36.851,10.227,25.253,55.364,625
25.253,55.364,31.522,74.404,626
31.522,74.404,25.253,55.364,627
25.253,55.364,12.99,80.169,628
12.99,80.169,25.253,55.364,629
25.253,55.364,37.469,126.451,630
37.469,126.451,25.253,55.364,631
25.253,55.364,-4.674,55.522,632
-4.674,55.522,25.253,55.364,633
25.253,55.364,21.68,39.157,634
25.253,55.364,40.64,-73.779,635
40.64,-73.779,25.253,55.364,636
25.253,55.364,52.309,4.764,637
52.309,4.764,25.253,55.364,638
25.253,55.364,29.227,47.969,639
29.227,47.969,25.253,55.364,640
25.253,55.364,49.013,2.55,641
49.013,2.55,25.253,55.364,642
25.253,55.364,21.68,39.157,643
21.68,39.157,25.253,55.364,644
25.253,55.364,35.552,139.78,645
35.552,139.78,25.253,55.364,646
25.253,55.364,26.267,50.638,647
26.267,50.638,25.253,55.364,648
25.253,55.364,29.227,47.969,649
29.227,47.969,25.253,55.364,650
25.253,55.364,51.471,-0.462,651
51.471,-0.462,25.253,55.364,652
25.253,55.364,35.552,139.78,653
35.552,139.78,25.253,55.364,654
25.253,55.364,35.552,139.78,655
35.552,139.78,25.253,55.364,656
25.253,55.364,48.11,16.57,657
48.11,16.57,25.253,55.364,658
25.253,55.364,33.549,72.826,659
33.549,72.826,25.253,55.364,660
25.253,55.364,42.364,-71.005,661
42.364,-71.005,25.253,55.364,662
25.253,55.364,50.033,8.571,663
50.033,8.571,25.253,55.364,664
25.253,55.364,-26.139,28.246,665
-26.139,28.246,25.253,55.364,666
25.253,55.364,28.567,77.103,667
25.253,55.364,4.192,73.529,668
4.192,73.529,25.253,55.364,669
25.253,55.364,38.945,-77.456,670
38.945,-77.456,25.253,55.364,671
25.253,55.364,40.64,-73.779,672
40.64,-73.779,25.253,55.364,673
25.253,55.364,21.68,39.157,674
21.68,39.157,25.253,55.364,675
25.253,55.364,25.273,51.608,676
25.273,51.608,25.253,55.364,677
25.253,55.364,28.567,77.103,678
28.567,77.103,25.253,55.364,679
25.253,55.364,55.872,-4.433,680
55.872,-4.433,25.253,55.364,681
25.253,55.364,14.509,121.02,682
14.509,121.02,25.253,55.364,683
25.253,55.364,1.35,103.994,684
1.35,103.994,-37.673,144.843,685
-37.673,144.843,1.35,103.994,686
1.35,103.994,25.253,55.364,687
25.253,55.364,21.68,39.157,688
21.68,39.157,25.253,55.364,689
25.253,55.364,30.122,31.406,690
30.122,31.406,25.253,55.364,691
25.253,55.364,12.99,80.169,692
12.99,80.169,25.253,55.364,693
25.253,55.364,29.984,-95.341,694
29.984,-95.341,25.253,55.364,695
25.253,55.364,59.8,30.263,696
59.8,30.263,25.253,55.364,697
25.253,55.364,1.35,103.994,698
1.35,103.994,25.253,55.364,699
25.253,55.364,29.227,47.969,700
29.227,47.969,25.253,55.364,701
25.253,55.364,50.033,8.571,702
50.033,8.571,25.253,55.364,703
25.253,55.364,31.522,74.404,704
31.522,74.404,25.253,55.364,705
25.253,55.364,21.68,39.157,706
21.68,39.157,25.253,55.364,707
25.253,55.364,-20.43,57.684,708
-20.43,57.684,25.253,55.364,709
25.253,55.364,45.631,8.728,710
45.631,8.728,40.64,-73.779,711
40.64,-73.779,45.631,8.728,712
45.631,8.728,25.253,55.364,713
25.253,55.364,47.43,19.261,714
47.43,19.261,25.253,55.364,715
25.253,55.364,26.471,49.798,716
